"","1"
"_AgriGenesis_Biosciences_Ltd_PO_Box_50_Auckland_New_Zealand_",1
"_AN_Bach_Institute_of_Biochemistry_Leninsky_prospekt_33_build_2_Moscow_119071_Russia_",1
"_Applied_Microbiology_GNU_GNU_Jinju_Gyeongnamdo_660-701_Korea_",1
"_Aquatic_Animal_Health_Research_Unit_USDA_ARS_990_Wire_Road_Auburn_AL_36832_USA_",1
"_Basic_Sciences_Mississippi_State_University_College_of_Veterinary_Medicine_Mississippi_State_MS_39762_USA_",1
"_Beijing_Institute_of_Biotechnology_Dongdajie_20_Fengtai_District_Beijing_Beijing_100071_China_",1
"_Bertalan_M_Universidade_Federal_do_Rio_de_Janeiro_Instituto_de_Bioquimica_Medica_Nucleo_de_Sequenciamento_Johanna_Dobereiner_CCS_Bloco_D_subssolo_Rio_de_Janeiro_RJ_21491590_BRAZIL_",1
"_Biochemistry_and_Molecular_Biology_The_Pennsylvania_State_University_S-235_Frear_Building_University_Park_PA_16802_USA_",1
"_Biodiversity_Research_Center_Academia_Sinica_128_Academia_Road_Sect_2_Taipei_11529_Taiwan_",1
"_BioInformatics_Center_Nanjing_Agricultural_University_1_Weigang_Nanjing_Jiangsu_210095_China_",1
"_Bioinformatics_Center_Nanjing_Agricultural_University_Weigang_1_Nanjing_Jiangsu_210095_China_",1
"_BioInformatics_Center_Nanjing_Agriculture_University_No1_Weigang_Road_Xuanwu_District_Nanjing_Jiangsu_210095_China_",1
"_Bioinformatics_Leibniz_Institute_DSMZ_Inhoffenstr_7B_Braunschweig_38124_Germany_",1
"_Bioinformatics_Mendelics_Analise_Genomica_Rua_Cubatao_86_cj_1602_Sao_Paulo_SP_04013-000_Brazil_",1
"_Biologie_Universite_de_Sherbrooke_2500_boulevard_Universite_Sherbrooke_Quebec_J1K2R1_Canada_",1
"_Biology_Science_Institute_University_of_Malaya_Jalan_University_Kuala_Lumpur_Kuala_Lumpur_50603_Malaysia_",1
"_Biology_University_of_Utah_257_S_1400_E_Rm_201_Salt_Lake_City_UT_84112_USA_",1
"_Biomolecular_Chemistry_Hans-Knoell-Institute_Beutenbergstrasse_11a_07745_Jena_GERMANY_",1
"_Bioquimica_e_Biologia_Molecular_Universidade_Federal_do_Parana_(UFPR)_Centro_Politecnico_Curitiba_Parana_81531-980_Brazil_",1
"_BioScience_Los_Alamos_National_Laboratory_PO_Box_1663_M888_Los_Alamos_NM_87545_USA_",1
"_Bioscience_Los_Alamos_National_Laboratory_PO_Box_1663_MS_M888_Los_Alamos_NM_87545_USA_",2
"_Biosurveillance_MRIGlobal_1470_Treeland_Blvd_Palm_Bay_FL_32909_USA_",1
"_Biotechnology_Center_University_of_Wisconsin_425_Henry_Mall_Madison_WI_53706_USA_",1
"_BioTechnology_Institute_University_of_Minnesota_-_Twin_Cities_140_Gortner_Laboratory_1479_Gortner_Avenue_Saint_Paul_MN_55108_USA_",1
"_Botany_Visva-Bharati_(A_Central_University)_Santiniketan_West_Bengal-731235_INDIA_",1
"_Broad_Institute_of_MIT_and_Harvard_7_Cambridge_Center_Cambridge_MA_02142_USA_",3
"_Cancer_Institute_The_Second_Affiliated_Hospital_Zhejiang_University_88_Jiefang_Road_Hangzhou_Zhejiang_310009_China_",1
"_Cas_Key_Laboratory_of_Genome_Sciences_and_Information_Beijing_Institute_of_Genomics_Chinese_Academy_of_Sciences_Eitucheng_West_Road_Chaoyang_District_Beijing_Beijing_100029_China_",1
"_CAS_Key_Laboratory_of_Pathogenic_Microbiology_and_Immunology_Institute_of_Microbiology_Chinese_Academy_of_Sciences_No1_Beichen_West_Road_Chaoyang_District_Beijing_100101_China_",1
"_CeBiTec_Bielefeld_University_Universitaetsstr_27_Bielefeld_NRW_33615_Germany_",3
