accn,organism,sizeNT,numGene,numFail,pcFail,fail1,fail2,fail3,fail4,fail5,fail,GCcontent,baseFreqA,baseFreqT,baseFreqC,baseFreqG,institution,seqYear,reassessed,reasYear,seqMethod,QC
AE000657,Aquifex_aeolicus_VF5,1551335,1522,2,0.1314060446780552,0,0,0,1,1,1,0.43476167301066504,0.28412883097461217,0.2811094960147228,0.21682035150370488,0.21794132150696013,_Diversa_Corporation_Genomics_San_Diego_CA_92121_USA_,2005,1,2014,seqMethod,QC
AE014184,Tropheryma_whipplei_str._Twist,927303,808,0,0.0,0,0,0,0,0,0,0.46331997200483555,0.2719779834638732,0.26470204453129126,0.23334336241767795,0.2299766095871576,_Unite_des_Rickettsies_Faculte_de_Medecine_CNRS_UMR_6020_IFR_48_Universite_de_la_Mediterranee_27_boulevard_Jean_Moulin_Marseille_Cedex_05_13385_France_,2006,1,2014,seqMethod,QC
AE015928,Bacteroides_thetaiotaomicron_VPI-5482,6260361,4787,0,0.0,0,0,0,0,0,0,0.4283717823940185,0.2845572324024126,0.28707098520356894,0.2134509495538676,0.2149208328401509,_Department_of_Molecular_Biology_and_Pharmacology_Washington_University_in_St_Louis_660_S_Euclid_St_Louis_MO_63110_USA_,2006,1,2014,seqMethod,QC
AE016825,Chromobacterium_violaceum_ATCC_12472,4751080,4407,0,0.0,0,0,0,0,0,0,0.6483374306473475,0.17537507261506857,0.17628749673758387,0.32420544381488,0.3241319868324676,_Labinfo_LNCC_-_Laboratorio_Nacional_de_Computacao_Cientifica_Rua_Getulio_Vargas_333_Petropolis_RJ_25651070_Brazil_,2006,1,2010,seqMethod,QC
AE017282,Methylococcus_capsulatus_str._Bath,3304560,2960,1,0.033783783783783786,0,0,0,0,1,1,0.6358459219986927,0.1823561987072409,0.18179787929406638,0.3188366983804198,0.31700922361827294,_The_Institute_for_Genomic_Research_9712_Medical_Center_Dr_Rockville_MD_20850_USA_,2004,1,2014,seqMethod,QC
AL935263,Lactobacillus_plantarum_WCFS1,3308273,3058,3,0.09810333551340746,0,0,0,0,3,1,0.44466886499391073,0.27734530977340743,0.27798582523268184,0.22280083898759262,0.2218680260063181,_Centre_for_Molecular_and_Biomolecular_Informatics_Radboud_University_Medical_Centre_PO_Box_9010_Nijmegen_6500_GL_THE_NETHERLANDS_,2003,1,2015,seqMethod,QC
AM180252,Lawsonia_intracellularis_PHE/MN1-00,1457619,1187,10,0.8424599831508003,0,0,3,4,9,1,0.332844865496402,0.33460389854962097,0.332551235953977,0.16549660782412962,0.16734825767227238,_Kaur_K_Microbiology_University_of_Minnesota_1500_Gortner_Ave_St_Paul_Minnesota_MN_55108_USA_,2006,1,2015,seqMethod,QC
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,5057142,4737,35,0.7388642600802195,1,0,32,1,9,1,0.6109037476108047,0.19525494834829632,0.193841304040899,0.3091050241420945,0.3017987234687102,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006,1,2015,seqMethod,QC
AM260479,Ralstonia_eutropha_H16,4052032,3651,0,0.0,0,0,0,0,0,0,0.6646591142419409,0.1670006554735994,0.16834023028445974,0.3320835077314296,0.33257560651051127,_Fricke_WF_Institute_for_Microbiology_and_Genetics_Goettingen_Genomics_Laboratory_Grisebachstr_8_Goettingen_37077_GERMANY_,2006,1,2015,seqMethod,QC
AM260525,Bartonella_tribocorum_CIP_105476,2619061,2136,2,0.09363295880149813,0,0,0,0,2,1,0.38856063299022053,0.3110824833785849,0.30035688363119456,0.2021384763470572,0.18642215664316333,_Schuster_SC_Department_of_Biochemistry_and_Molecular_Biology_Center_for_Comparative_Genomics_and_Bioinformatics_Center_for_Infectious_Disease_Dynamics_310_Wartik_Building_Penn_State_University_University_Park_PA_16802_USA_Phone_+1_814_863-9278_FAX_+1_814_863-6699_,2007,1,2015,seqMethod,QC
