accn,organism,loctag,exact,name,compl,pseudo,fail,numFailcats,fail1,fail2,fail3,fail4,fail5,institution,seqYear
AE000657,Aquifex_aeolicus_VF5,aq_1039,exact,fdoG,0,0,1,1,0,0,0,1,0,_Diversa_Corporation_Genomics_San_Diego_CA_92121_USA_,2005
AE000657,Aquifex_aeolicus_VF5,aq_1400,exact,celY,0,0,1,1,0,0,0,0,1,_Diversa_Corporation_Genomics_San_Diego_CA_92121_USA_,2005
AE017282,Methylococcus_capsulatus_str._Bath,MCA0302,exact,prfB,1,0,1,1,0,0,0,0,1,_The_Institute_for_Genomic_Research_9712_Medical_Center_Dr_Rockville_MD_20850_USA_,2004
AL935263,Lactobacillus_plantarum_WCFS1,lp_0894,exact,757,1,0,1,1,0,0,0,0,1,_Centre_for_Molecular_and_Biomolecular_Informatics_Radboud_University_Medical_Centre_PO_Box_9010_Nijmegen_6500_GL_THE_NETHERLANDS_,2003
AL935263,Lactobacillus_plantarum_WCFS1,lp_1515,exact,infC,0,0,1,1,0,0,0,0,1,_Centre_for_Molecular_and_Biomolecular_Informatics_Radboud_University_Medical_Centre_PO_Box_9010_Nijmegen_6500_GL_THE_NETHERLANDS_,2003
AL935263,Lactobacillus_plantarum_WCFS1,lp_1763,exact,1474,0,0,1,1,0,0,0,0,1,_Centre_for_Molecular_and_Biomolecular_Informatics_Radboud_University_Medical_Centre_PO_Box_9010_Nijmegen_6500_GL_THE_NETHERLANDS_,2003
AM180252,Lawsonia_intracellularis_PHE/MN1-00,LI0040,non-specific,LI0040,0,0,1,1,0,0,0,0,1,_Kaur_K_Microbiology_University_of_Minnesota_1500_Gortner_Ave_St_Paul_Minnesota_MN_55108_USA_,2006
AM180252,Lawsonia_intracellularis_PHE/MN1-00,LI0158,exact,comEB,1,0,1,2,0,0,1,1,0,_Kaur_K_Microbiology_University_of_Minnesota_1500_Gortner_Ave_St_Paul_Minnesota_MN_55108_USA_,2006
AM180252,Lawsonia_intracellularis_PHE/MN1-00,LI0169,non-specific,oppA,0,0,1,3,0,0,1,1,1,_Kaur_K_Microbiology_University_of_Minnesota_1500_Gortner_Ave_St_Paul_Minnesota_MN_55108_USA_,2006
AM180252,Lawsonia_intracellularis_PHE/MN1-00,LI0173,non-specific,LI0173,0,0,1,1,0,0,0,0,1,_Kaur_K_Microbiology_University_of_Minnesota_1500_Gortner_Ave_St_Paul_Minnesota_MN_55108_USA_,2006
AM180252,Lawsonia_intracellularis_PHE/MN1-00,LI0399,non-specific,atpF,0,0,1,1,0,0,0,0,1,_Kaur_K_Microbiology_University_of_Minnesota_1500_Gortner_Ave_St_Paul_Minnesota_MN_55108_USA_,2006
AM180252,Lawsonia_intracellularis_PHE/MN1-00,LI0419,non-specific,LI0419,0,0,1,3,0,0,1,1,1,_Kaur_K_Microbiology_University_of_Minnesota_1500_Gortner_Ave_St_Paul_Minnesota_MN_55108_USA_,2006
AM180252,Lawsonia_intracellularis_PHE/MN1-00,LI0475,non-specific,LI0475,1,0,1,1,0,0,0,0,1,_Kaur_K_Microbiology_University_of_Minnesota_1500_Gortner_Ave_St_Paul_Minnesota_MN_55108_USA_,2006
AM180252,Lawsonia_intracellularis_PHE/MN1-00,LI0527,exact,fliA,1,0,1,2,0,0,0,1,1,_Kaur_K_Microbiology_University_of_Minnesota_1500_Gortner_Ave_St_Paul_Minnesota_MN_55108_USA_,2006
AM180252,Lawsonia_intracellularis_PHE/MN1-00,LI1159,exact,LI1159,0,0,1,1,0,0,0,0,1,_Kaur_K_Microbiology_University_of_Minnesota_1500_Gortner_Ave_St_Paul_Minnesota_MN_55108_USA_,2006
AM180252,Lawsonia_intracellularis_PHE/MN1-00,LI1164,non-specific,YscL,0,0,1,1,0,0,0,0,1,_Kaur_K_Microbiology_University_of_Minnesota_1500_Gortner_Ave_St_Paul_Minnesota_MN_55108_USA_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL0791,exact,797,0,0,1,1,0,0,0,0,1,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL0993,exact,1002,1,0,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL1081,exact,1090,0,1,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
